"request_timestamp","response_timestamp","source_file","model","prompt","temperature","input_tokens","output_tokens","total_tokens","estimated_cost_usd"
"2026-04-04T06:09:02.167Z","2026-04-04T06:09:04.498Z","unknown","gpt-4o","Write a one-sentence bedtime story about a unicorn.","1","18","31","49","0.00000240"
"2026-04-04T06:16:20.017Z","2026-04-04T06:16:23.705Z","unknown","gpt-4o","How Should I Drink my coffee to be healthy?","1","17","213","230","0.00001329"
"2026-04-04T06:20:43.184Z","2026-04-04T06:20:46.918Z","unknown","gpt-4o","How Should I Drink my coffee to be healthy?","1","17","274","291","0.00001695"
"2026-04-04T06:27:17.218Z","2026-04-04T06:27:18.379Z","unknown","gpt-4o","Write a creative product name for a coffee shop","0","16","4","20","0.00000072"
"2026-04-04T06:35:48.644Z","2026-04-04T06:35:50.209Z","unknown","gpt-4o","Write a creative product name for a coffee shop","0","16","4","20","0.00000072"
"2026-04-04T06:35:58.164Z","2026-04-04T06:36:01.745Z","unknown","gpt-4o","Explain quantum computing","1","10","324","334","0.00001974"
"2026-04-04T06:36:18.256Z","2026-04-04T06:36:23.099Z","unknown","gpt-4o","Explain quantum computing","1","10","517","527","0.00003132"
"2026-04-04T06:38:46.403Z","2026-04-04T06:38:47.720Z","unknown","gpt-4o","Give a creative product name for my coffee shop","0","16","10","26","0.00000108"
"2026-04-04T06:39:35.236Z","2026-04-04T06:39:36.374Z","unknown","gpt-4o","Give a creative product name for a coffee shop","0","16","7","23","0.00000090"
"2026-04-04T06:55:21.524Z","2026-04-04T06:55:25.419Z","prompt.js","gpt-4o","What is machine learning?","1","12","219","231","0.00001350"
"2026-04-04T06:55:25.425Z","2026-04-04T06:55:27.182Z","prompt.js","gpt-4o","Explain machine learning like I'm 5","1","14","68","82","0.00000450"
"2026-04-04T06:55:27.183Z","2026-04-04T06:55:30.094Z","prompt.js","gpt-4o","Machine learning definition for engineer","1","12","85","97","0.00000546"
"2026-04-04T06:55:30.096Z","2026-04-04T06:55:33.227Z","prompt.js","gpt-4o","ML in bullet points","1","11","360","371","0.00002193"
"2026-04-04T06:55:33.230Z","2026-04-04T06:55:40.512Z","prompt.js","gpt-4o","Compare ML to traditional programming","1","12","500","512","0.00003036"
